1,7,3,27,23,2,4,22,24,1,13,21,33,66.6,,,,,,
2,7,6,29,26,2,8,22,28,16,14,36,34,67.46666667,,,,,,
3,7,17,30,37,2,4,22,28,1,14,21,34,67.5,,,,,,
4,9,3,29,37,2,8,22,24,16,13,36,33,68.26666667,,,,,,
5,9,6,27,23,2,8,22,28,1,14,21,33,66.16666667,,,,,,
6,9,17,30,26,2,8,22,24,1,13,36,34,67.7,,,,,,
7,10,3,30,23,2,8,22,28,16,13,21,34,68.63333333,,,,,,
8,10,6,27,37,2,4,22,24,16,14,36,34,68.56666667,,,,,,
9,10,17,29,23,2,4,22,24,1,14,36,33,66.83333333,,,,,,
10,7,3,29,26,2,4,25,28,1,13,36,33,68.96666667,,,,,,
11,7,6,27,37,2,8,25,24,1,13,21,34,68.1,,,,,,
12,7,17,30,23,2,8,25,28,16,14,36,33,69.13333333,,,,,,
13,9,3,27,26,2,8,25,28,16,14,21,34,69.1,,,,,,
14,9,6,29,23,2,4,25,24,16,13,21,34,69.5,,,,,,
15,9,17,27,37,2,4,25,28,16,13,36,33,69.5,,,,,,
16,10,3,30,37,2,4,25,24,1,14,21,33,68.33333333,,,,,,
17,10,6,29,26,2,8,25,24,1,14,21,33,68.76666667,,,,,,
18,10,17,27,26,2,4,25,28,1,13,21,34,68.8,,,,,,
19,7,3,30,26,2,8,31,24,16,14,21,33,68.53333333,,,,,,
20,7,6,29,23,2,4,31,28,1,13,36,34,68.13333333,,,,,,
21,7,17,27,26,2,4,31,24,16,13,36,34,68.8,,,,,,
22,9,3,30,23,2,4,31,28,16,14,36,34,68.43333333,,,,,,
23,9,6,30,37,2,8,31,28,1,13,21,33,67.7,,,,,,
24,9,17,29,26,2,8,31,28,1,14,21,34,66.93333333,,,,,,
25,10,3,27,37,2,8,31,28,1,14,36,33,68.76666667,,,,,,
26,10,6,30,26,2,4,31,24,16,13,36,33,69.63333333,,,,,,
27,10,17,30,23,2,8,31,24,1,13,21,33,68,,,,,,
28,7,3,29,37,2,4,32,24,16,14,21,34,67.46666667,,,,,,
29,7,6,30,23,2,8,32,24,1,14,36,34,66.66666667,,,,,,
30,7,17,27,23,2,4,32,28,16,13,21,33,67.63333333,,,,,,
