1,7,3,27,23,2,4,22,24,1,13,21,33,66.6,,,,,,
2,7,3,29,26,2,8,22,28,16,14,36,34,67.3,,,,,,
3,7,3,30,37,2,4,22,28,1,14,21,34,67,,,,,,
4,7,6,27,26,2,8,22,24,16,13,36,33,67.53333333,,,,,,
5,7,6,29,23,2,4,22,28,16,13,21,34,66.63333333,,,,,,
6,7,6,30,37,2,8,22,24,1,14,36,33,68.1,,,,,,
7,7,17,27,37,2,4,22,28,16,14,36,33,67.4,,,,,,
8,7,17,29,23,2,8,22,24,1,14,21,34,65.9,,,,,,
9,7,17,30,26,2,4,22,24,16,13,21,34,68.5,,,,,,
10,9,3,27,26,2,4,22,28,1,13,36,34,66.36666667,,,,,,
11,9,3,29,23,2,8,22,24,16,13,36,33,66.53333333,,,,,,
12,9,3,30,37,2,8,22,28,16,13,21,33,68.5,,,,,,
13,9,6,27,23,2,8,22,28,1,14,21,33,66.16666667,,,,,,
14,9,6,29,26,2,4,22,24,1,14,36,34,66.93333333,,,,,,
15,9,6,30,23,2,4,22,24,16,14,21,33,68.06666667,,,,,,
16,9,17,27,37,2,8,22,24,1,13,36,34,66.66666667,,,,,,
17,9,17,29,26,2,8,22,28,1,13,21,33,66.5,,,,,,
18,9,17,30,23,2,8,22,28,16,14,36,34,67.9,,,,,,
19,10,3,27,37,2,8,22,24,16,14,21,34,67.1,,,,,,
20,10,3,29,26,2,4,22,24,16,13,21,33,67.83333333,,,,,,
21,10,3,30,23,2,4,22,28,1,13,36,33,67.83333333,,,,,,
22,10,6,27,37,2,4,22,28,1,13,21,34,66.36666667,,,,,,
23,10,6,29,37,2,8,22,28,16,14,36,33,68.46666667,,,,,,
24,10,6,30,26,2,8,22,28,1,14,21,34,67.7,,,,,,
25,10,17,27,23,2,4,22,24,16,14,36,34,67.8,,,,,,
26,10,17,29,37,2,4,22,24,1,13,36,33,68.03333333,,,,,,
27,10,17,30,37,2,8,22,24,16,13,21,33,69.13333333,,,,,,
28,7,3,27,26,2,4,25,28,16,14,21,33,68.66666667,,,,,,
