1,2,5,4,1,7,13,3,22,25,24,21,27,33,23,69.63333333,,,,,,
2,12,11,8,16,7,14,3,32,31,28,36,29,34,26,69.4,,,,,,
3,2,11,4,16,7,13,3,32,25,28,21,30,34,37,70.33333333,,,,,,
4,12,5,8,1,7,14,6,22,31,24,36,27,33,26,69.06666667,,,,,,
5,2,11,8,1,7,13,6,32,31,24,21,29,34,23,68.4,,,,,,
6,12,5,4,16,7,14,6,22,25,28,36,30,33,37,70.56666667,,,,,,
7,2,11,8,16,7,14,17,22,31,24,21,27,33,37,69.8,,,,,,
8,12,5,4,16,7,13,17,32,31,28,36,29,33,23,69.63333333,,,,,,
9,2,5,8,1,7,13,17,32,25,28,36,30,34,26,69.43333333,,,,,,
10,2,11,4,1,9,14,3,32,25,24,36,27,34,26,69.66666667,,,,,,
11,12,5,8,1,9,14,3,22,25,28,21,29,34,23,68.53333333,,,,,,
12,12,11,8,1,9,13,3,22,31,24,36,30,33,37,68.8,,,,,,
13,12,11,4,16,9,13,6,32,25,28,21,27,33,23,69.7,,,,,,
14,2,5,4,16,9,13,6,22,31,24,21,29,34,26,69.7,,,,,,
15,2,5,8,16,9,14,6,32,31,24,36,30,33,23,68.63333333,,,,,,
16,12,5,4,1,9,14,17,32,31,28,21,27,34,37,68.56666667,,,,,,
17,2,11,4,1,9,14,17,22,25,28,36,29,33,26,69.4,,,,,,
18,12,11,8,16,9,13,17,22,25,24,21,30,34,23,68,,,,,,
19,12,5,8,16,10,13,3,32,25,24,36,27,34,37,70.96666667,,,,,,
20,2,11,4,1,10,13,3,22,31,28,21,29,33,26,68.4,,,,,,
21,2,5,4,1,10,14,3,32,31,24,21,30,34,23,68.5,,,,,,
22,2,11,8,1,10,14,6,22,25,28,36,27,34,37,68.86666667,,,,,,
23,12,5,4,16,10,14,6,22,31,24,21,29,33,37,70.56666667,,,,,,
24,12,11,8,16,10,13,6,32,25,28,21,30,33,26,69.8,,,,,,
25,2,11,8,16,10,14,17,22,31,28,36,27,33,23,69.73333333,,,,,,
26,12,5,8,1,10,13,17,32,25,24,36,29,34,37,69.7,,,,,,
27,2,11,4,16,10,14,17,22,25,24,36,30,33,37,70.63333333,,,,,,
28,12,5,4,16,10,13,17,22,31,28,21,27,34,26,70.43333333,,,,,,
29,12,5,4,16,9,14,3,22,31,28,21,30,33,26,69.4,,,,,,
30,2,11,8,1,7,14,3,22,25,24,36,29,34,37,69.73333333,,,,,,
31,12,5,4,1,10,13,6,22,25,24,36,29,34,23,69.6,,,,,,
32,12,11,8,16,7,14,3,32,31,28,36,30,33,23,69.3,,,,,,
33,2,5,8,1,9,13,6,32,25,28,21,29,33,37,69.06666667,,,,,,
34,12,11,4,1,7,13,6,32,31,24,21,30,34,26,68.96666667,,,,,,
35,2,5,8,1,9,14,3,22,31,28,36,27,34,26,69,,,,,,
36,12,11,4,1,7,14,17,32,25,28,21,27,34,23,69.43333333,,,,,,
37,2,5,4,16,9,13,17,22,25,28,21,29,33,37,70.13333333,,,,,,
38,2,11,4,16,10,14,17,32,31,24,36,30,33,26,70.2,,,,,,
39,2,5,8,16,10,14,6,32,31,28,21,30,34,37,70.06666667,,,,,,
,,,,,,,,,,,,,,,,Max,Min ,Range ,Average ,SD,Coeff. Var. 
,,,,,,,,,,,,,,,,70.96666667,68,2.96666667,69.48119658,0.699156792,0.010062532
