1,1,7,3,21,27,23,2,4,22,24,65.83333333,,,,,,
2,1,9,6,21,29,26,2,8,22,28,64.5,,,,,,
3,1,10,17,21,30,37,2,4,22,28,67.63333333,,,,,,
4,1,7,6,21,30,23,2,8,25,24,66.1,,,,,,
5,1,9,3,21,27,37,2,8,25,28,66.96666667,,,,,,
6,1,10,17,21,29,26,2,4,25,24,69.06666667,,,,,,
7,1,7,17,21,27,26,2,8,31,28,67.56666667,,,,,,
8,1,9,3,21,30,23,2,4,31,28,66.13333333,,,,,,
9,1,10,6,21,27,37,2,4,31,24,68.73333333,,,,,,
10,1,7,3,21,29,37,2,8,32,24,66.13333333,,,,,,
11,1,9,17,21,30,26,2,8,32,24,66.8,,,,,,
12,1,10,6,21,29,23,2,4,32,28,66.36666667,,,,,,
13,1,7,6,21,27,37,5,8,22,28,63.73333333,,,,,,
14,1,9,3,21,29,23,5,8,22,24,64.53333333,,,,,,
15,1,10,17,21,27,26,5,4,22,24,66.46666667,,,,,,
16,1,7,3,21,30,26,5,4,25,28,68.26666667,,,,,,
17,1,9,6,21,29,37,5,4,25,24,67.73333333,,,,,,
18,1,10,3,21,27,23,5,8,25,28,68.86666667,,,,,,
19,1,7,17,21,29,23,5,4,31,28,67.8,,,,,,
20,1,9,6,21,30,26,5,8,31,24,67.4,,,,,,
21,1,10,3,21,29,37,5,8,31,28,67.86666667,,,,,,
22,1,7,17,21,30,37,5,4,32,24,67.53333333,,,,,,
23,1,9,6,21,27,23,5,4,32,28,66.03333333,,,,,,
24,1,10,3,21,30,26,5,8,32,28,68.36666667,,,,,,
25,1,7,17,21,29,26,11,8,22,24,64.46666667,,,,,,
26,1,9,6,21,30,37,11,4,22,24,67.46666667,,,,,,
27,1,10,3,21,27,37,11,8,22,24,64.83333333,,,,,,
28,1,7,17,21,27,23,11,4,25,28,67.9,,,,,,
29,1,9,17,21,30,23,11,8,25,28,66.76666667,,,,,,
30,1,10,6,21,29,26,11,8,25,28,67.83333333,,,,,,
31,1,7,3,21,30,37,11,8,31,28,67.46666667,,,,,,
32,1,9,17,21,27,37,11,4,31,24,68.3,,,,,,
33,1,10,17,21,30,23,11,4,31,24,67.53333333,,,,,,
34,1,7,6,21,27,26,11,4,32,24,66.9,,,,,,
