1,2,5,4,1,13,22,25,24,21,33,7,10,27,30,3,6,23,26,71.1,,,,,,
2,2,5,4,16,14,32,31,28,36,34,9,10,29,30,3,17,23,37,71.33333333,,,,,,
3,2,5,8,1,14,22,31,24,36,33,9,10,27,30,3,17,23,26,70.86666667,,,,,,
4,2,5,8,16,13,32,25,28,21,34,7,10,29,30,3,6,23,37,71.4,,,,,,
5,2,11,4,1,14,32,25,24,36,34,7,10,27,30,3,17,23,37,70.8,,,,,,
6,2,11,4,16,13,22,31,28,21,33,9,10,29,30,3,6,23,26,70.6,,,,,,
7,2,11,8,1,13,32,31,24,21,34,9,10,29,30,3,17,23,26,69.86666667,,,,,,
8,2,11,8,16,14,22,25,28,36,33,7,10,27,30,3,6,23,37,71.13333333,,,,,,
9,12,5,4,1,14,22,25,28,21,34,9,10,27,30,3,17,23,26,70.5,,,,,,
10,12,5,4,16,13,32,31,24,36,33,7,10,29,30,3,6,23,37,71.36666667,,,,,,
11,12,5,8,1,13,22,31,28,36,34,7,10,29,30,3,17,23,37,70.06666667,,,,,,
12,12,5,8,16,14,32,25,24,21,33,9,10,27,30,3,6,23,26,71.3,,,,,,
13,12,11,4,1,13,32,25,28,36,33,9,10,29,30,3,17,23,26,69.96666667,,,,,,
14,12,11,4,16,14,22,31,24,21,34,7,10,27,30,3,6,23,37,70.76666667,,,,,,
15,12,11,8,1,14,32,31,28,21,33,7,10,29,30,3,6,23,26,69.4,,,,,,
16,12,11,8,16,13,22,25,24,36,34,9,10,27,30,3,17,23,37,70.56666667,,,,,,
17,12,11,4,1,13,22,31,24,36,33,9,10,27,30,3,6,23,37,70.23333333,,,,,,
18,2,5,4,16,13,22,25,24,36,34,9,10,29,30,3,6,23,26,71.23333333,,,,,,
19,12,11,8,1,14,22,25,24,21,34,7,10,29,30,3,17,23,26,69.7,,,,,,
20,12,5,8,16,14,22,31,28,21,33,9,10,29,30,3,17,23,37,70.26666667,,,,,,
21,2,5,4,1,13,32,31,28,21,33,7,10,27,30,3,17,23,37,71.33333333,,,,,,
22,2,11,4,16,13,32,25,28,21,34,7,10,27,30,3,17,23,26,71.4,,,,,,
23,2,5,8,1,14,32,25,28,36,34,9,10,27,30,3,6,23,37,71.03333333,,,,,,
24,12,11,8,16,14,32,31,24,36,34,9,10,29,30,3,6,23,26,69.86666667,,,,,,
25,2,11,8,1,13,22,25,28,36,33,7,10,29,30,3,17,23,37,70.23333333,,,,,,
26,2,11,4,16,14,22,25,24,21,33,9,10,29,30,3,17,23,37,70.8,,,,,,
27,12,5,8,1,13,32,31,24,21,34,7,10,27,30,3,6,23,26,70.7,,,,,,
28,12,11,4,1,14,32,31,28,36,34,7,10,27,30,3,6,23,26,70.06666667,,,,,,
29,2,11,8,16,13,22,31,24,21,33,7,10,27,30,3,17,23,26,70.56666667,,,,,,
30,12,5,8,16,13,22,25,28,36,33,7,10,27,30,3,6,23,26,71.43333333,,,,,,
31,12,5,4,16,14,32,25,28,21,33,7,10,29,30,3,17,23,26,71.76666667,,,,,,
32,2,11,8,16,13,32,25,24,36,33,9,10,27,30,3,6,23,37,70.93333333,,,,,,
33,2,5,4,1,14,22,31,24,21,34,7,10,29,30,3,6,23,37,70.4,,,,,,
34,2,11,8,16,14,32,31,28,21,34,9,10,27,30,3,17,23,37,70.33333333,,,,,,
35,12,5,4,1,14,22,25,24,36,33,7,10,29,30,3,17,23,37,70.7,,,,,,
36,2,5,4,1,13,32,25,24,21,33,9,10,29,30,3,6,23,37,71,,,,,,
37,2,5,4,16,13,22,31,28,36,34,9,10,27,30,3,17,23,26,71.2,,,,,,
38,12,11,4,16,14,22,25,28,36,34,9,10,29,30,3,6,23,37,70.26666667,,,,,,
39,12,11,4,1,13,22,25,28,21,34,7,10,29,30,3,6,23,37,69.73333333,,,,,,
40,12,11,8,16,13,32,31,28,21,33,9,10,27,30,3,17,23,37,70.06666667,,,,,,
41,2,11,4,16,14,32,31,28,36,33,7,10,27,30,3,17,23,26,71.8,,,,,,
42,12,5,8,16,13,32,25,24,36,34,9,10,29,30,3,17,23,37,71.03333333,,,,,,
43,2,11,8,16,14,22,25,24,36,34,7,10,29,30,3,6,23,26,70.66666667,,,,,,
44,2,5,8,16,14,32,25,24,36,33,7,10,27,30,3,17,23,37,71.9,,,,,,
45,12,11,8,1,14,22,31,28,21,34,9,10,27,30,3,6,23,26,69.33333333,,,,,,
46,2,5,8,1,14,22,31,24,36,33,9,10,29,30,3,6,23,26,70.03333333,,,,,,
47,12,5,4,1,13,32,31,24,21,33,9,10,27,30,3,17,23,26,70.86666667,,,,,,
48,2,5,4,1,14,32,31,28,36,33,9,10,27,30,3,6,23,26,70.76666667,,,,,,
49,12,5,8,1,14,22,25,24,21,34,7,10,27,30,3,17,23,37,70.83333333,,,,,,
50,2,11,4,1,13,22,25,28,21,34,7,10,29,30,3,6,23,26,70.36666667,,,,,,
51,12,11,8,1,14,32,31,28,36,33,9,10,29,30,3,6,23,37,69.3,,,,,,
52,2,11,8,1,13,32,31,24,36,33,9,10,29,30,3,17,23,37,69.93333333,,,,,,
53,2,11,8,16,14,32,25,28,21,34,7,10,27,30,3,17,23,26,70.73333333,,,,,,
54,12,11,4,16,14,22,31,24,36,33,7,10,27,30,3,6,23,26,71.03333333,,,,,,
,,,,,,,,,,,,,,,,,,,,Max,Min ,Range ,Average ,SD,Coeff. Var. 
,,,,,,,,,,,,,,,,,,,,71.9,69.3,2.6,70.6462963,0.624612362,0.008841403
