1,2,13,9,6,22,33,29,26,65.46666667,,,,,,
2,2,14,10,17,24,34,30,37,63.6,,,,,,
3,2,16,7,3,25,36,27,23,66.86666667,,,,,,
4,2,1,9,17,28,21,27,26,63.1,,,,,,
5,2,13,7,3,31,34,29,37,66.93333333,,,,,,
6,2,14,9,6,32,36,30,23,63.96666667,,,,,,
7,4,16,10,3,22,21,30,26,67.36666667,,,,,,
8,4,1,7,6,24,33,27,37,61.66666667,,,,,,
9,4,13,9,17,25,34,29,23,66.6,,,,,,
10,4,14,10,3,28,36,29,26,64.16666667,,,,,,
11,4,16,10,6,31,33,30,23,65.5,,,,,,
12,4,1,10,3,32,34,27,26,64.63333333,,,,,,
13,5,14,7,17,22,21,27,37,63.76666667,,,,,,
14,5,16,9,3,24,36,29,37,66.53333333,,,,,,
15,5,1,10,6,25,33,30,23,65.1,,,,,,
16,5,13,7,6,28,34,30,26,63.23333333,,,,,,
17,5,14,9,17,31,21,27,23,66.43333333,,,,,,
18,5,16,7,17,32,33,29,37,66.13333333,,,,,,
19,8,1,9,17,22,36,29,23,63.26666667,,,,,,
20,8,13,10,6,24,21,27,26,64.16666667,,,,,,
21,8,14,7,3,25,33,30,37,64.56666667,,,,,,
22,8,16,7,6,28,34,29,23,60.26666667,,,,,,
23,8,1,10,17,31,36,30,26,66.66666667,,,,,,
24,8,13,10,3,32,21,29,23,63.9,,,,,,
25,11,14,9,6,22,34,30,37,65.93333333,,,,,,
26,11,16,10,17,24,36,27,23,65.63333333,,,,,,
27,11,1,7,3,25,21,29,26,67.4,,,,,,
28,11,13,10,17,28,33,30,37,63.73333333,,,,,,
29,11,13,10,6,31,36,30,37,67.73333333,,,,,,
30,11,16,10,17,32,21,29,23,64.2,,,,,,
31,12,14,9,6,22,34,30,23,63.76666667,,,,,,
32,12,16,10,17,24,36,27,26,65.4,,,,,,
33,12,1,7,3,25,21,29,37,66.76666667,,,,,,
34,12,13,10,17,28,33,30,26,62.53333333,,,,,,
35,12,1,7,17,31,21,30,37,66.16666667,,,,,,
36,12,1,10,17,32,33,27,37,63.56666667,,,,,,
,,,,,,,,,,Max,Min ,Range ,Average ,SD,Coeff. Var. 
,,,,,,,,,,67.73333333,60.26666667,7.466666667,64.90925926,1.714347789,0.026411452
