1,2,1,7,3,22,21,27,23,63.66666667,,,,,,
2,2,1,7,6,22,21,29,26,63.53333333,,,,,,
3,2,1,7,17,22,21,30,37,65.4,,,,,,
4,2,1,9,3,22,21,29,37,63.2,,,,,,
5,2,1,9,6,22,21,27,23,63.5,,,,,,
6,2,1,9,17,22,21,30,26,64.86666667,,,,,,
7,2,1,10,3,22,21,30,23,63.56666667,,,,,,
8,2,1,10,6,22,21,27,37,63.5,,,,,,
9,2,1,10,17,22,21,29,23,63.03333333,,,,,,
10,2,1,7,3,22,33,29,26,63.7,,,,,,
11,2,1,7,6,22,33,27,37,63.36666667,,,,,,
12,2,1,7,17,22,33,30,23,62.9,,,,,,
13,2,1,9,3,22,33,27,26,62.1,,,,,,
14,2,1,9,6,22,33,29,23,63.6,,,,,,
15,2,1,9,17,22,33,27,37,62.5,,,,,,
16,2,1,10,3,22,33,30,37,65.8,,,,,,
17,2,1,10,6,22,33,29,26,63.96666667,,,,,,
18,2,1,10,17,22,33,27,26,63.33333333,,,,,,
19,2,1,7,3,22,34,30,26,65.63333333,,,,,,
20,2,1,7,6,22,34,29,23,63.23333333,,,,,,
21,2,1,7,17,22,34,27,26,62.86666667,,,,,,
22,2,1,9,3,22,34,30,23,63.33333333,,,,,,
23,2,1,9,6,22,34,30,37,64.7,,,,,,
24,2,1,9,17,22,34,29,26,63.6,,,,,,
25,2,1,10,3,22,34,27,37,61.86666667,,,,,,
26,2,1,10,6,22,34,30,26,65.53333333,,,,,,
27,2,1,10,17,22,34,30,23,63.03333333,,,,,,
28,2,1,7,3,22,36,29,37,64.23333333,,,,,,
29,2,1,7,6,22,36,30,23,64.06666667,,,,,,
30,2,1,7,17,22,36,27,23,63.73333333,,,,,,
31,2,1,9,3,22,36,27,37,63.1,,,,,,
32,2,1,9,6,22,36,29,26,63.96666667,,,,,,
33,2,1,9,17,22,36,30,37,64.86666667,,,,,,
34,2,1,10,3,22,36,29,23,62.7,,,,,,
35,2,1,10,6,22,36,27,26,63.83333333,,,,,,
36,2,1,10,17,22,36,29,37,64.43333333,,,,,,
37,2,13,7,3,22,21,29,23,63.83333333,,,,,,
38,2,13,7,6,22,21,27,26,65.06666667,,,,,,
39,2,13,7,17,22,21,30,23,64.4,,,,,,
40,2,13,9,3,22,21,27,37,63.93333333,,,,,,
41,2,13,9,6,22,21,29,37,65.1,,,,,,
42,2,13,9,17,22,21,27,26,65.06666667,,,,,,
43,2,13,10,3,22,21,30,26,65.7,,,,,,
