1,2,5,4,1,7,13,22,25,24,21,27,33,3,6,23,26,70.5,,,,,,
2,2,11,8,16,7,14,32,31,28,36,27,34,3,17,23,37,70.4,,,,,,
3,12,5,8,1,7,14,22,31,24,36,27,33,3,17,23,26,70.06666667,,,,,,
4,12,11,4,16,7,13,32,25,28,21,27,34,3,6,23,37,70.8,,,,,,
5,2,5,8,16,7,13,22,31,28,21,29,33,3,17,23,37,70.43333333,,,,,,
6,2,11,4,1,7,14,32,25,24,36,29,34,3,6,23,26,70.56666667,,,,,,
7,12,5,4,16,7,14,22,25,28,36,29,34,3,17,23,26,70.73333333,,,,,,
8,12,11,8,1,7,13,32,31,24,21,29,33,3,6,23,37,69.56666667,,,,,,
9,2,5,4,16,7,14,32,31,24,21,30,33,3,6,23,37,71,,,,,,
10,2,11,8,1,7,13,22,25,28,36,30,34,3,17,23,26,70.06666667,,,,,,
11,12,5,8,16,7,13,32,25,24,36,30,33,3,17,23,37,70.5,,,,,,
12,12,11,4,1,7,14,22,31,28,21,30,34,3,6,23,26,69.6,,,,,,
13,2,5,8,1,9,14,32,25,28,21,27,34,3,6,23,37,69.66666667,,,,,,
14,2,11,4,16,9,13,22,31,24,36,27,33,3,17,23,26,70.53333333,,,,,,
15,12,5,4,1,9,13,32,31,28,36,27,33,3,6,23,26,70.33333333,,,,,,
16,12,11,8,16,9,14,22,25,24,21,27,34,3,17,23,37,70.26666667,,,,,,
17,2,5,4,1,9,13,22,25,28,21,29,34,3,17,23,37,69.86666667,,,,,,
18,2,11,8,16,9,14,32,31,24,36,29,33,3,6,23,26,69.9,,,,,,
19,12,5,8,1,9,14,22,31,24,21,29,34,3,6,23,26,69.1,,,,,,
20,12,11,4,16,9,13,32,25,28,36,29,33,3,17,23,37,70.33333333,,,,,,
21,2,5,8,16,9,13,22,31,28,36,30,34,3,6,23,37,70.26666667,,,,,,
22,2,11,4,1,9,14,32,25,24,21,30,33,3,17,23,26,70.33333333,,,,,,
23,12,5,4,16,9,14,22,25,24,36,30,34,3,6,23,37,70.53333333,,,,,,
24,12,11,8,1,9,13,32,31,28,21,30,33,3,17,23,26,69.16666667,,,,,,
25,2,5,4,16,10,14,22,25,28,36,27,33,3,6,23,37,71.83333333,,,,,,
26,2,11,8,1,10,13,32,31,24,21,27,34,3,17,23,26,70.43333333,,,,,,
27,12,5,8,16,10,13,22,31,28,21,27,34,3,6,23,26,70.76666667,,,,,,
28,12,11,4,1,10,14,32,25,24,36,27,33,3,17,23,37,70.36666667,,,,,,
29,2,5,8,1,10,14,32,25,28,36,29,33,3,17,23,26,70.7,,,,,,
30,2,11,4,16,10,13,22,31,24,21,29,34,3,6,23,37,70.33333333,,,,,,
31,12,5,4,1,10,13,22,25,24,36,29,34,3,17,23,26,70.7,,,,,,
32,12,11,8,16,10,14,32,31,28,21,29,33,3,6,23,37,70.23333333,,,,,,
33,2,5,4,1,10,13,32,31,28,36,30,34,3,17,23,37,70.83333333,,,,,,
34,2,11,8,16,10,14,22,25,24,21,30,33,3,6,23,26,70.8,,,,,,
35,12,5,8,1,10,14,22,31,24,36,30,33,3,6,23,37,70.23333333,,,,,,
36,12,11,4,16,10,13,32,25,28,21,30,34,3,17,23,26,71.16666667,,,,,,
37,2,5,8,1,10,13,22,25,24,36,27,34,3,6,23,37,70.7,,,,,,
38,12,5,4,1,7,14,32,31,28,21,29,33,3,17,23,26,70.16666667,,,,,,
39,12,5,4,1,7,13,22,25,24,21,30,34,3,17,23,37,70.46666667,,,,,,
40,2,5,4,1,9,13,32,25,24,36,30,34,3,6,23,26,70.26666667,,,,,,
41,12,11,4,1,7,13,22,31,24,36,27,34,3,6,23,37,70.4,,,,,,
42,2,11,8,1,9,14,22,31,28,36,27,33,3,6,23,37,69.5,,,,,,
43,12,11,8,1,9,13,22,25,28,36,29,34,3,6,23,26,69.26666667,,,,,,
44,12,11,8,1,10,13,22,25,28,21,29,33,3,17,23,37,69.73333333,,,,,,
45,2,11,8,1,10,13,32,31,24,36,30,33,3,6,23,26,69.83333333,,,,,,
46,2,5,4,16,7,13,32,25,24,21,27,34,3,17,23,26,71.4,,,,,,
47,12,5,8,16,9,14,32,31,28,21,27,33,3,17,23,26,70.16666667,,,,,,
48,12,5,4,16,9,14,32,31,28,36,29,34,3,17,23,37,70.13333333,,,,,,
49,2,5,4,16,10,14,32,25,24,21,29,34,3,6,23,26,71.36666667,,,,,,
50,2,5,4,16,10,14,22,31,28,21,30,33,3,17,23,26,71.53333333,,,,,,
51,2,11,8,16,10,13,22,25,28,36,27,33,3,17,23,26,70.93333333,,,,,,
52,2,11,4,16,7,14,22,25,28,21,29,33,3,6,23,37,70.66666667,,,,,,
53,12,11,8,16,7,14,32,31,28,36,30,34,3,6,23,37,70.3,,,,,,
54,2,11,8,16,9,14,32,25,28,21,30,34,3,17,23,37,70.06666667,,,,,,
55,12,5,4,16,10,13,32,31,24,36,27,33,3,6,23,26,71.53333333,,,,,,
56,2,5,4,16,7,13,32,25,24,36,29,33,3,6,23,37,71.1,,,,,,
57,12,5,8,16,7,13,22,25,28,21,27,33,3,6,23,26,70.9,,,,,,
58,12,5,8,1,9,13,22,25,24,21,27,33,3,6,23,37,70.23333333,,,,,,
59,2,5,4,1,7,14,32,31,24,21,27,34,3,6,23,37,69.9,,,,,,
60,12,11,4,1,9,14,32,31,24,21,27,34,3,6,23,26,69.66666667,,,,,,
61,12,5,8,1,10,14,32,31,28,21,27,34,3,17,23,37,70.4,,,,,,
62,2,5,8,1,7,14,22,25,24,36,29,34,3,17,23,37,69.9,,,,,,
63,12,5,8,1,10,13,22,25,28,21,30,33,3,6,23,37,70.43333333,,,,,,
64,12,11,8,16,10,14,22,25,24,36,29,34,3,17,23,26,70.63333333,,,,,,
65,2,5,4,1,10,13,32,31,28,36,29,34,3,6,23,26,70.63333333,,,,,,
66,12,11,4,16,10,14,32,25,24,36,30,34,3,17,23,37,70.8,,,,,,
67,2,11,4,1,9,14,22,31,28,21,30,33,3,6,23,37,69.9,,,,,,
68,12,11,4,16,9,14,22,25,24,21,29,33,3,17,23,26,70.23333333,,,,,,
69,2,11,4,16,7,14,22,25,24,36,30,33,3,17,23,26,70.83333333,,,,,,
70,2,5,8,1,9,13,32,31,24,21,29,33,3,17,23,37,69.66666667,,,,,,
71,2,5,8,1,7,13,32,31,28,21,30,33,3,6,23,26,70.06666667,,,,,,
72,2,11,4,1,7,14,32,25,28,36,27,33,3,17,23,26,70.8,,,,,,
73,12,11,4,1,9,13,22,25,24,36,27,34,3,17,23,26,70.16666667,,,,,,
74,12,5,8,16,9,13,22,31,24,21,30,34,3,17,23,26,70.03333333,,,,,,
75,12,11,4,1,10,14,22,31,28,36,29,33,3,17,23,37,69.46666667,,,,,,
76,2,11,8,1,7,14,32,31,24,21,29,34,3,17,23,26,69.63333333,,,,,,
77,12,11,4,1,10,14,32,25,24,21,27,33,3,6,23,26,70.53333333,,,,,,
78,12,11,4,16,7,13,32,31,28,36,29,34,3,6,23,26,70.2,,,,,,
79,12,11,4,16,9,13,22,25,28,36,30,33,3,17,23,37,70.43333333,,,,,,
80,2,5,4,1,10,13,22,31,24,21,29,33,3,6,23,26,70.43333333,,,,,,
81,12,11,8,16,10,13,22,25,28,36,30,34,3,17,23,26,70.43333333,,,,,,
82,12,5,4,16,10,13,22,31,28,21,27,34,3,17,23,37,71.3,,,,,,
83,2,5,8,16,9,13,32,25,28,21,30,33,3,6,23,26,70.8,,,,,,
84,2,11,8,16,9,14,22,31,28,36,27,33,3,17,23,26,70.33333333,,,,,,
85,12,11,8,1,7,13,32,31,28,36,30,34,3,17,23,37,69.46666667,,,,,,
86,12,5,4,1,10,13,32,25,24,21,30,34,3,6,23,26,70.96666667,,,,,,
87,12,5,8,1,7,14,32,25,28,36,30,33,3,6,23,26,70.13333333,,,,,,
88,12,11,4,16,9,13,22,25,24,21,27,34,3,6,23,37,70.66666667,,,,,,
89,12,11,4,1,9,14,22,31,28,21,29,34,3,6,23,37,69.03333333,,,,,,
90,12,11,8,16,7,14,32,25,24,36,27,33,3,17,23,37,70.43333333,,,,,,
91,2,5,8,1,10,14,22,25,24,21,29,34,3,17,23,37,70.36666667,,,,,,
,,,,,,,,,,,,,,,,,,Max,Min ,Range ,Average ,SD,Coeff. Var. 
,,,,,,,,,,,,,,,,,,71.83333333,69.03333333,2.8,70.35494505,0.546279985,0.007764628
